country,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUS,2,3,2,1,SCAC,0,1,6494
AUS,2,99,2,1,SCAC,0,1,502
AUS,2,1,3,1,SCAC,0,1,4096
AUS,2,2,3,1,SCAC,0,1,8502
AUS,2,3,3,1,SCAC,0,1,12606
AUS,2,99,3,1,SCAC,0,1,2834
AUS,2,1,99,1,SCAC,0,1,131
AUS,2,2,99,1,SCAC,0,1,433
AUS,2,3,99,1,SCAC,0,1,881
AUS,2,99,99,1,SCAC,0,1,299
AUS,1,1,1,1,SCAC,1,1,62
AUS,1,2,1,1,SCAC,1,1,408
AUS,1,3,1,1,SCAC,1,1,1515
AUS,1,99,1,1,SCAC,1,1,144
AUS,1,1,2,1,SCAC,1,1,46
AUS,1,2,2,1,SCAC,1,1,253
AUS,1,3,2,1,SCAC,1,1,794
AUS,1,99,2,1,SCAC,1,1,50
AUS,1,1,3,1,SCAC,1,1,1015
AUS,1,2,3,1,SCAC,1,1,5297
AUS,1,3,3,1,SCAC,1,1,3274
AUS,1,99,3,1,SCAC,1,1,992
AUS,1,1,99,1,SCAC,1,1,23
AUS,1,2,99,1,SCAC,1,1,161
AUS,1,3,99,1,SCAC,1,1,134
AUS,1,99,99,1,SCAC,1,1,121
AUS,2,1,1,1,SCAC,1,1,42
AUS,2,2,1,1,SCAC,1,1,402
AUS,2,3,1,1,SCAC,1,1,1740
AUS,2,99,1,1,SCAC,1,1,148
AUS,2,1,2,1,SCAC,1,1,34
AUS,2,2,2,1,SCAC,1,1,259
AUS,2,3,2,1,SCAC,1,1,772
AUS,2,99,2,1,SCAC,1,1,71
AUS,2,1,3,1,SCAC,1,1,1655
AUS,2,2,3,1,SCAC,1,1,4342
AUS,2,3,3,1,SCAC,1,1,4343
AUS,2,99,3,1,SCAC,1,1,1476
AUS,2,1,99,1,SCAC,1,1,37
AUS,2,2,99,1,SCAC,1,1,132
AUS,2,3,99,1,SCAC,1,1,169
AUS,2,99,99,1,SCAC,1,1,95
AUS,1,1,1,1,UNK,0,1,89
AUS,1,2,1,1,UNK,0,1,174
AUS,1,3,1,1,UNK,0,1,440
AUS,1,99,1,1,UNK,0,1,67
AUS,1,1,2,1,UNK,0,1,62
AUS,1,2,2,1,UNK,0,1,191
AUS,1,3,2,1,UNK,0,1,383
AUS,1,99,2,1,UNK,0,1,69
AUS,1,1,3,1,UNK,0,1,523
AUS,1,2,3,1,UNK,0,1,1240
AUS,1,3,3,1,UNK,0,1,2167
AUS,1,99,3,1,UNK,0,1,406
AUS,1,1,99,1,UNK,0,1,175
AUS,1,2,99,1,UNK,0,1,203
AUS,1,3,99,1,UNK,0,1,86
AUS,1,99,99,1,UNK,0,1,379
AUS,2,1,1,1,UNK,0,1,77
AUS,2,2,1,1,UNK,0,1,180
AUS,2,3,1,1,UNK,0,1,641
AUS,2,99,1,1,UNK,0,1,81
AUS,2,1,2,1,UNK,0,1,77
AUS,2,2,2,1,UNK,0,1,169
AUS,2,3,2,1,UNK,0,1,538
AUS,2,99,2,1,UNK,0,1,96
AUS,2,1,3,1,UNK,0,1,614
AUS,2,2,3,1,UNK,0,1,975
AUS,2,3,3,1,UNK,0,1,2426
AUS,2,99,3,1,UNK,0,1,489
AUS,2,1,99,1,UNK,0,1,123
AUS,2,2,99,1,UNK,0,1,140
AUS,2,3,99,1,UNK,0,1,106
AUS,2,99,99,1,UNK,0,1,313
AUS,1,1,99,1,UNK,0,99,41700
AUS,1,2,99,1,UNK,0,99,60944
AUS,1,3,99,1,UNK,0,99,19555
AUS,1,99,99,1,UNK,0,99,579174
AUS,2,1,99,1,UNK,0,99,53978
AUS,2,2,99,1,UNK,0,99,46058
AUS,2,3,99,1,UNK,0,99,32060
AUS,2,99,99,1,UNK,0,99,569347
AUT,1,1,1,1,AFRI,0,1,2000
AUT,1,2,1,1,AFRI,0,1,2220
AUT,1,3,1,1,AFRI,0,1,1692
AUT,1,1,2,1,AFRI,0,1,1170
AUT,1,2,2,1,AFRI,0,1,1856
AUT,1,3,2,1,AFRI,0,1,900
AUT,1,1,3,1,AFRI,0,1,2532
AUT,1,2,3,1,AFRI,0,1,6295
AUT,1,3,3,1,AFRI,0,1,3026
AUT,1,99,99,1,AFRI,0,1,7867
AUT,2,1,1,1,AFRI,0,1,1595
AUT,2,2,1,1,AFRI,0,1,375
AUT,2,3,1,1,AFRI,0,1,1253
