country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,1,2,1,2,1,EURO,0,1,23681
AUS,1,2,2,2,1,EURO,0,1,1460
AUS,1,2,3,2,1,EURO,0,1,6738
AUS,1,2,99,2,1,EURO,0,1,113
AUS,1,2,1,3,1,EURO,0,1,2168
AUS,1,2,2,3,1,EURO,0,1,63
AUS,1,2,3,3,1,EURO,0,1,14678
AUS,1,2,99,3,1,EURO,0,1,200
AUS,1,3,1,1,1,EURO,0,1,610
AUS,1,3,2,1,1,EURO,0,1,101
AUS,1,3,3,1,1,EURO,0,1,141
AUS,1,3,1,2,1,EURO,0,1,22336
AUS,1,3,2,2,1,EURO,0,1,1213
AUS,1,3,3,2,1,EURO,0,1,2485
AUS,1,3,99,2,1,EURO,0,1,51
AUS,1,3,1,3,1,EURO,0,1,1187
AUS,1,3,2,3,1,EURO,0,1,65
AUS,1,3,3,3,1,EURO,0,1,3835
AUS,1,3,99,3,1,EURO,0,1,20
AUS,1,99,1,1,1,EURO,0,1,95
AUS,1,99,2,1,1,EURO,0,1,7
AUS,1,99,3,1,1,EURO,0,1,82
AUS,1,99,99,1,1,EURO,0,1,18
AUS,1,99,1,2,1,EURO,0,1,3378
AUS,1,99,2,2,1,EURO,0,1,247
AUS,1,99,3,2,1,EURO,0,1,1841
AUS,1,99,99,2,1,EURO,0,1,355
AUS,1,99,1,3,1,EURO,0,1,545
AUS,1,99,2,3,1,EURO,0,1,22
AUS,1,99,3,3,1,EURO,0,1,5232
AUS,1,99,99,3,1,EURO,0,1,1176
AUS,2,1,1,1,1,EURO,0,1,122
AUS,2,1,2,1,1,EURO,0,1,36
AUS,2,1,3,1,1,EURO,0,1,359
AUS,2,1,1,2,1,EURO,0,1,5202
AUS,2,1,2,2,1,EURO,0,1,341
AUS,2,1,3,2,1,EURO,0,1,9166
AUS,2,1,99,2,1,EURO,0,1,106
AUS,2,1,1,3,1,EURO,0,1,1029
AUS,2,1,2,3,1,EURO,0,1,13
AUS,2,1,3,3,1,EURO,0,1,30940
AUS,2,1,99,3,1,EURO,0,1,248
AUS,2,2,1,1,1,EURO,0,1,1514
