coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AFG,1,3,1,1564,1,ASIA,0,1,1826
AFG,1,3,2,1564,1,ASIA,0,1,628
AFG,1,3,3,1564,1,ASIA,0,1,127
AFG,1,99,1,1,1,ASIA,0,1,1463
AFG,1,99,2,1,1,ASIA,0,1,158
AFG,1,99,3,1,1,ASIA,0,1,9197
AFG,1,99,99,1,1,ASIA,0,1,257
AFG,1,99,1,2,1,ASIA,0,1,3326
AFG,1,99,2,2,1,ASIA,0,1,560
AFG,1,99,3,2,1,ASIA,0,1,5629
AFG,1,99,99,2,1,ASIA,0,1,491
AFG,1,99,1,3,1,ASIA,0,1,7
AFG,1,99,3,3,1,ASIA,0,1,360
AFG,1,99,99,3,1,ASIA,0,1,24
AFG,2,1,1,1,1,ASIA,0,1,2986
AFG,2,1,2,1,1,ASIA,0,1,649
AFG,2,1,3,1,1,ASIA,0,1,16275
AFG,2,1,99,1,1,ASIA,0,1,785
AFG,2,1,1,2,1,ASIA,0,1,11687
AFG,2,1,2,2,1,ASIA,0,1,5433
AFG,2,1,3,2,1,ASIA,0,1,53987
AFG,2,1,99,2,1,ASIA,0,1,43
AFG,2,1,1,3,1,ASIA,0,1,213
AFG,2,1,2,3,1,ASIA,0,1,15
AFG,2,1,3,3,1,ASIA,0,1,8788
AFG,2,1,99,3,1,ASIA,0,1,34
AFG,2,1,1,1564,1,ASIA,0,1,3206
AFG,2,1,3,1564,1,ASIA,0,1,12299
AFG,2,2,1,1,1,ASIA,0,1,5004
AFG,2,2,2,1,1,ASIA,0,1,2263
AFG,2,2,3,1,1,ASIA,0,1,8345
AFG,2,2,99,1,1,ASIA,0,1,7
AFG,2,2,1,2,1,ASIA,0,1,19467
AFG,2,2,2,2,1,ASIA,0,1,2540
AFG,2,2,3,2,1,ASIA,0,1,24932
AFG,2,2,99,2,1,ASIA,0,1,29
AFG,2,2,1,3,1,ASIA,0,1,204
AFG,2,2,3,3,1,ASIA,0,1,3100
AFG,2,2,1,1564,1,ASIA,0,1,1157
AFG,2,2,3,1564,1,ASIA,0,1,193
AFG,2,3,1,1,1,ASIA,0,1,2462
AFG,2,3,2,1,1,ASIA,0,1,196
AFG,2,3,3,1,1,ASIA,0,1,2277
AFG,2,3,99,1,1,ASIA,0,1,1
AFG,2,3,1,2,1,ASIA,0,1,18861
AFG,2,3,2,2,1,ASIA,0,1,2194
AFG,2,3,3,2,1,ASIA,0,1,14755
AFG,2,3,99,2,1,ASIA,0,1,19
AFG,2,3,1,3,1,ASIA,0,1,311
AFG,2,3,2,3,1,ASIA,0,1,141
AFG,2,3,3,3,1,ASIA,0,1,2042
AFG,2,3,99,3,1,ASIA,0,1,3
AFG,2,3,1,1564,1,ASIA,0,1,1856
AFG,2,3,2,1564,1,ASIA,0,1,275
AFG,2,3,3,1564,1,ASIA,0,1,682
AFG,2,99,1,1,1,ASIA,0,1,226
AFG,2,99,2,1,1,ASIA,0,1,60
AFG,2,99,3,1,1,ASIA,0,1,2861
AFG,2,99,99,1,1,ASIA,0,1,64
AFG,2,99,1,2,1,ASIA,0,1,735
AFG,2,99,2,2,1,ASIA,0,1,363
AFG,2,99,3,2,1,ASIA,0,1,5478
AFG,2,99,99,2,1,ASIA,0,1,409
AFG,2,99,1,3,1,ASIA,0,1,6
AFG,2,99,3,3,1,ASIA,0,1,610
AFG,2,99,99,3,1,ASIA,0,1,33
AFRI,1,1,1,1,1,AFRI,0,1,3479
AFRI,1,1,2,1,1,AFRI,0,1,3554
AFRI,1,1,3,1,1,AFRI,0,1,20357
AFRI,1,1,1,2,1,AFRI,0,1,27213
AFRI,1,1,2,2,1,AFRI,0,1,7030
AFRI,1,1,3,2,1,AFRI,0,1,18747
AFRI,1,1,1,3,1,AFRI,0,1,658
AFRI,1,1,3,3,1,AFRI,0,1,1650
AFRI,1,2,1,1,1,AFRI,0,1,5262
AFRI,1,2,2,1,1,AFRI,0,1,1074
