coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
ASIA,2,2,3,1,ASIA,0,1,48897
ASIA,2,3,3,1,ASIA,0,1,30811
ASIA,2,99,3,1,ASIA,0,1,200
ASIA,2,1,23,1,ASIA,0,1,50
ASIA,2,2,23,1,ASIA,0,1,88
ASIA,2,3,23,1,ASIA,0,1,186
ASIA,2,1,99,1,ASIA,0,1,9
ASIA,2,2,99,1,ASIA,0,1,4
ASIA,2,3,99,1,ASIA,0,1,1
ASIA,2,99,99,1,ASIA,0,1,4
ASM,1,1,1,1,OCEA,0,1,9
ASM,1,2,1,1,OCEA,0,1,30
ASM,1,3,1,1,OCEA,0,1,130
ASM,1,99,1,1,OCEA,0,1,3
ASM,1,1,2,1,OCEA,0,1,273
ASM,1,2,2,1,OCEA,0,1,292
ASM,1,99,2,1,OCEA,0,1,4
ASM,1,1,3,1,OCEA,0,1,10
ASM,1,2,3,1,OCEA,0,1,46
ASM,1,3,3,1,OCEA,0,1,6
ASM,1,99,3,1,OCEA,0,1,3
ASM,1,2,99,1,OCEA,0,1,3
ASM,1,99,99,1,OCEA,0,1,3
ASM,2,1,1,1,OCEA,0,1,6
ASM,2,2,1,1,OCEA,0,1,365
ASM,2,3,1,1,OCEA,0,1,12
ASM,2,99,1,1,OCEA,0,1,3
ASM,2,1,2,1,OCEA,0,1,277
ASM,2,2,2,1,OCEA,0,1,286
ASM,2,3,2,1,OCEA,0,1,4
ASM,2,1,3,1,OCEA,0,1,3
ASM,2,2,3,1,OCEA,0,1,38
ASM,2,3,3,1,OCEA,0,1,96
ASM,2,3,99,1,OCEA,0,1,3
ATG,1,1,1,1,SCAC,0,1,5
ATG,1,2,1,1,SCAC,0,1,691
ATG,1,3,1,1,SCAC,0,1,25
ATG,1,2,2,1,SCAC,0,1,574
ATG,1,3,2,1,SCAC,0,1,50
ATG,1,1,3,1,SCAC,0,1,1588
ATG,1,2,3,1,SCAC,0,1,5736
ATG,1,3,3,1,SCAC,0,1,3680
ATG,1,1,99,1,SCAC,0,1,4
